FID,lat,lng
0,41.39783565,2.167148357
1,41.39800604,2.165978045
2,41.39844091,2.167721487
3,41.39801808,2.168111776
4,41.39891925,2.169815111
5,41.39803654,2.169211175
6,41.39787287,2.171451829
7,41.39796908,2.170344086
8,41.39759004,2.164272904
9,41.39718854,2.165759771
10,41.39715794,2.164698729
11,41.39711384,2.166919772
12,41.39755578,2.167522592
13,41.39713025,2.16807389
14,41.39716672,2.169263615
15,41.39714629,2.170359432
16,41.39701874,2.172552204
17,41.39709779,2.171436369
18,41.39721504,2.162629659
19,41.39675667,2.160818022
20,41.39634763,2.162357329
21,41.39626197,2.161254762
22,41.3970087,2.163722046
23,41.39625231,2.159823828
24,41.39601454,2.160159055
25,41.39601811,2.159523452
26,41.39634126,2.159233529
27,41.39637577,2.162981059
28,41.39671354,2.164110151
29,41.39625621,2.163502929
30,41.39626677,2.164715636
31,41.39630116,2.166924023
32,41.39628182,2.165816714
33,41.39630548,2.168138515
34,41.39619232,2.168549817
35,41.3965703,2.168427992
36,41.39671067,2.168642881
37,41.39608978,2.169436236
38,41.39615744,2.168990032
39,41.39650426,2.168928828
40,41.39628165,2.171485734
41,41.39629258,2.170378761
42,41.3961692,2.173684235
43,41.39622795,2.172570989
44,41.39561012,2.156036237
45,41.39555076,2.157361103
46,41.3959841,2.1576176
47,41.3955084,2.158032972
48,41.39584838,2.158371177
49,41.39586741,2.158133156
50,41.39603173,2.158282356
51,41.39581401,2.158760842
52,41.39604892,2.158714999
53,41.3959906,2.159034461
54,41.39599448,2.158557414
55,41.39570991,2.159093441
56,41.39571947,2.160520069
57,41.39531317,2.159999798
58,41.39549888,2.160812318
59,41.39534845,2.162322841
60,41.3954788,2.163481366
61,41.39542702,2.165820763
62,41.39544779,2.164716015
63,41.39584552,2.167508266
64,41.39540973,2.166914555
65,41.39561732,2.167842995
66,41.39593259,2.168182179
67,41.39601779,2.167771159
68,41.39557975,2.168263864
69,41.39552448,2.168715525
70,41.3957811,2.169100108
71,41.39568223,2.169531089
72,41.39584265,2.169797552
73,41.39542647,2.170352596
74,41.39542018,2.172614065
75,41.39544478,2.171525343
76,41.39524648,2.174781751
77,41.39537377,2.173688936
78,41.39461332,2.154528073
79,41.3951127,2.154008941
80,41.39467094,2.155590337
81,41.39530981,2.157689262
82,41.39473219,2.156945313
83,41.39485811,2.158281196
84,41.39527881,2.159168238
85,41.39509495,2.161259288
86,41.39465637,2.160252991
87,41.39483205,2.167670337
88,41.39521241,2.168344901
89,41.39539289,2.169152884
90,41.39513506,2.16885777
91,41.39450839,2.153520413
92,41.39465531,2.152296094
93,41.39469961,2.159216407
94,41.3942187,2.160817922
95,41.39481993,2.161634627
96,41.39439022,2.162164687
97,41.39410212,2.164067926
98,41.39426247,2.163166724
99,41.3947741,2.163792115
100,41.39457112,2.164683739
101,41.39500041,2.164115881
102,41.39459178,2.165840585
103,41.3946011,2.166940594
104,41.39434152,2.16779765
105,41.39474071,2.168285573
106,41.39500328,2.168660072
107,41.39455049,2.169245803
108,41.39455213,2.17032958
109,41.39500328,2.170920706
110,41.39473202,2.171272295
111,41.39433006,2.171768802
112,41.39478832,2.171873545
113,41.39457688,2.172639449
114,41.39455101,2.173740965
115,41.39442309,2.17540431
116,41.39448189,2.174940567
117,41.39455351,2.175060905
118,41.39464805,2.175330233
119,41.39453059,2.175931923
120,41.39451146,2.175744857
121,41.39467383,2.175782933
122,41.3945115,2.175694219
123,41.39467097,2.175688382
124,41.39470821,2.175605291
125,41.39480611,2.175720328
126,41.3938306,2.149979331
127,41.39387547,2.149031105
128,41.3942835,2.150688672
129,41.39378807,2.151162381
130,41.39380849,2.152199341
131,41.39375942,2.153423505
132,41.39377011,2.154523384
133,41.39376327,2.155689344
134,41.39375197,2.156802639
135,41.39444179,2.158849663
136,41.39385485,2.158086013
137,41.3942053,2.159209177
138,41.39380867,2.15971495
139,41.39360927,2.162250217
140,41.39395191,2.162717669
141,41.39388033,2.164889058
142,41.39414099,2.165250496
143,41.39371252,2.165816239
144,41.39396337,2.167261859
145,41.39415818,2.167536918
146,41.39372055,2.16807342
147,41.39373509,2.169252484
148,41.39371569,2.170350026
149,41.39368944,2.171441698
150,41.39413812,2.172052456
151,41.39365885,2.172661747
152,41.39370554,2.173937751
153,41.39388889,2.174513654
154,41.3940178,2.174270113
155,41.39415818,2.174390451
156,41.3939204,2.174794443
157,41.39421834,2.174846016
158,41.39410023,2.174642483
159,41.3943272,2.174685565
160,41.39415815,2.176343569
161,41.39435011,2.17573709
162,41.3943673,2.17588608
163,41.39345641,2.147331549
164,41.39309928,2.148641344
165,41.39293391,2.147788531
166,41.39348209,2.150314264
167,41.39318065,2.149619475
168,41.39361101,2.160001469
169,41.39328779,2.159584849
170,41.3931689,2.16059658
171,41.39350215,2.163287842
172,41.39335571,2.164234296
173,41.39355062,2.166763908
174,41.39333017,2.167571821
175,41.39320916,2.169261895
176,41.39371307,2.173371688
177,41.39334172,2.173502242
178,41.39344782,2.175225081
179,41.39346948,2.176197289
180,41.3934573,2.177283422
181,41.39307868,2.144738685
182,41.39265704,2.145070967
183,41.39269142,2.14579013
184,41.39295457,2.145406831
185,41.39309932,2.146055637
186,41.39279785,2.146745991
187,41.39289259,2.15118136
188,41.39290894,2.150025193
189,41.39333885,2.150589322
190,41.39290515,2.152306299
191,41.39289139,2.153422936
192,41.39291364,2.155645636
193,41.39290503,2.154538194
194,41.39287655,2.157952438
195,41.39288553,2.156786069
196,41.39258286,2.159781654
197,41.39271729,2.158864079
198,41.39286186,2.162380981
199,41.39303597,2.161494172
200,41.39262839,2.164347962
201,41.3930667,2.163817902
202,41.39270301,2.163341632
203,41.39328729,2.166385111
204,41.39272535,2.165640976
205,41.39286744,2.166957
206,41.39307454,2.168331024
207,41.39330161,2.168642881
208,41.39267246,2.167828287
209,41.39266554,2.169439026
210,41.39292346,2.169118502
211,41.39242161,2.168645543
212,41.39313103,2.168891576
213,41.39284162,2.171508829
214,41.39287138,2.17036807
215,41.39276903,2.172730053
216,41.39320135,2.173275892
217,41.39269323,2.173937582
218,41.39265936,2.176256088
219,41.39267226,2.175133766
220,41.39260352,2.178426559
221,41.39261882,2.177339967
222,41.39206518,2.144300911
223,41.39222329,2.145249211
224,41.39225025,2.145707039
225,41.39220542,2.146168024
226,41.39221303,2.146790784
227,41.39206965,2.147736872
228,41.39260261,2.149228357
229,41.3920232,2.15004008
230,41.39246224,2.149451842
231,41.39201257,2.148847143
232,41.39205215,2.151145477
233,41.39203938,2.152287985
234,41.39205926,2.154519206
235,41.39204688,2.153405106
236,41.39207957,2.155265134
237,41.39217074,2.155829704
238,41.39206013,2.156782032
239,41.39201354,2.159074246
240,41.39203917,2.157933987
241,41.39237465,2.161680552
