FID,lng,lat,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20
0,2.167148357,41.39783565,0,0.364963542,0.012682292,0,0.064110417,0,0.319163542,0,0,0.003326042,0.000414583,0.04908125,0.013213542,0,0,0.000326042,0,0.001348958,0,0.000904167
1,2.165978045,41.39800604,2.19E-05,0.204216667,0.04246875,0,0.144082292,0,0.529552083,0,0,4.79E-05,0,0.04235625,0.006664583,0,0,0,0,5.21E-06,0,0
2,2.167721487,41.39844091,0,0.195233333,0.019823958,0,0.20628125,0,0.45321875,0,0,0.062185417,0,0.036658333,0.002034375,0,0,0,0,0,0,0
3,2.168111776,41.39801808,0.000516667,0.412534375,0.016488542,0,0.041360417,0,0.441042708,0,0,0,0,0.068010417,0.002558333,8.54E-05,0,0,0,0,0,0
4,2.169815111,41.39891925,3.13E-06,0.233804167,0.037319792,0,0.128042708,0,0.5303375,0,0,0.000973958,0,0.031885417,0.0041375,0,0,0,0,0.001884375,0,0
5,2.169211175,41.39803654,2.60E-05,0.339785417,0.021084375,0,0.053436458,0,0.424914583,0,0,0,0,0.023666667,0.002495833,0,0,0,0,0,0,0
6,2.171451829,41.39787287,0.001990625,0.336128125,0.078259375,0.19361875,0.022116667,0,0.007739583,0,0,0.001639583,0.000132292,0.214854167,0.007886458,0,1.46E-05,0.022534375,0,0.042684375,0,0.00688125
7,2.170344086,41.39796908,0,0.307783333,0.006127083,0,0.118228125,0,0.410588542,0,0,0,0,0.015436458,0.003472917,0,0,0,0,0,0,0
8,2.164272904,41.39759004,1.04E-05,0.216175,0.033546875,0,0.151009375,0,0.497644792,0,0,0.001615625,0,0.052132292,0.001191667,0,0,0,0,0,0,0
9,2.165759771,41.39718854,0,0.393617708,0.012923958,0,0.032032292,0,0.397101042,0,0,2.92E-05,0,0.114884375,0.0034125,0,4.48E-05,0,0,0.000157292,0,0
10,2.164698729,41.39715794,0,0.396775,0.004713542,0.000358333,0.052814583,0,0.373558333,0,0,0,0,0.053870833,0.008811458,0.00084375,0,0,0,4.17E-06,0,0
11,2.166919772,41.39711384,0,0.416754167,0.003345833,0,0.032908333,0,0.429688542,0,0,0,0,0.064789583,0.001035417,0,0,0,0,0,0,0
12,2.167522592,41.39755578,0.000354167,0.322477083,0.00739375,0,0.086873958,0,0.418580208,0,0,0,0,0.013757292,0.001032292,2.08E-06,0,0,0,0,0,0
13,2.16807389,41.39713025,0,0.391536458,0.004309375,0,0.05803125,0,0.351496875,0,0,0,0,0.029660417,0.034659375,0,0,0,0,0,0,0
14,2.169263615,41.39716672,0,0.388910417,0.005910417,0,0.043853125,0,0.39785625,0,0,0,0,0.062177083,0.003298958,0,0,0,0,0.000271875,0,0
15,2.170359432,41.39714629,0,0.417533333,0.001198958,0,0.030863542,0,0.324596875,0,0,0,0,0.0829125,0.013675,0,0.000320833,0,0,0.000333333,0,0
16,2.172552204,41.39701874,0.000673958,0.252873958,0.019259375,0.138416667,0.151404167,0,0.037148958,0.000622917,0,0.001939583,0,0.328330208,0.027902083,0.001690625,0,0.000276042,0,0.018371875,0,0.000405208
17,2.171436369,41.39709779,0.000136458,0.315202083,0.026829167,1.98E-05,0.059371875,0,0.432107292,0,0,0,0,0.019515625,0.006397917,0,0,0,0,0,0,0
18,2.162629659,41.39721504,0.004898958,0.265170833,0.033973958,0.000784375,0.106407292,0,0.277488542,0.000227083,0,0.003994792,0,0.24335,0.002757292,0,0,0,0,0.000246875,0,0.000182292
19,2.160818022,41.39675667,0.000607292,0.237136458,0.051532292,0,0.122797917,0,0.444766667,0,0,0.067464583,0,0.028807292,0.00075625,0,0,0,0,0,0,0
20,2.162357329,41.39634763,0.000815625,0.416007292,0.006036458,0,0.039811458,0,0.356101042,0,0,0,0,0.132766667,0.004251042,0,0,0,0,0,0,0
21,2.161254762,41.39626197,0.560470833,0.012466667,0.004897917,0.058052083,0.003748958,0.056585417,0,0,0.025271875,0,0.017475,0,0,0.005214583,0.01605,0.008957292,0,0.000117708,0.053069792,0.009353125
22,2.163722046,41.3970087,0.000705208,0.242675,0.004445833,2.92E-05,0.157822917,0,0.246241667,2.19E-05,0,0,0,0.014234375,0.000373958,0,0.000898958,0.006505208,0,1.04E-06,0,0
23,2.159823828,41.39625231,0.007308333,0.19688125,0.035692708,0,0.133567708,0,0.272654167,0,0,0,0,0.253073958,0.00818125,0,0,0,0,0.000947917,0,0
24,2.160159055,41.39601454,0.624213542,0,0,0.190907292,0,0.029227083,0,0,0.001786458,0,0,0,0,0,0.053177083,2.19E-05,0,0.000396875,0.00105625,9.38E-06
25,2.159523452,41.39601811,0.007308333,0.19688125,0.035692708,0,0.133567708,0,0.272654167,0,0,0,0,0.253073958,0.00818125,0,0,0,0,0.000947917,0,0
26,2.159233529,41.39634126,0.006619792,0.149546875,0.01010625,0,0.277873958,0,0.227,0,0,0.002842708,0,0.121841667,0.004357292,0.000115625,0.002552083,0,0,0.065283333,0,0
27,2.162981059,41.39637577,3.13E-06,0.230115625,0.002319792,0,0.173936458,0,0.408973958,0,0,0,0,0.02443125,0.01069375,0,0,0,0,0,0,0
28,2.164110151,41.39671354,0,0.226810417,0.004413542,0,0.17685625,0,0.493153125,0,0,0,0,0.020251042,0.005765625,1.04E-05,0,0,0,0,0,0
29,2.163502929,41.39625621,3.13E-06,0.230115625,0.002319792,0,0.173936458,0,0.408973958,0,0,0,0,0.02443125,0.01069375,0,0,0,0,0,0,0
30,2.164715636,41.39626677,0,0.336020833,0.000223958,0,0.135755208,0,0.338010417,0,0.000342708,0,0,0.116997917,0.001123958,0,0,0,0,0,0,0
31,2.166924023,41.39630116,5.21E-06,0.447361458,0.011460417,0.00076875,0.016457292,0,0.245126042,0,0,0,0,0.006828125,0.0002125,0.000255208,0,6.25E-06,0,0.01153125,0,0
32,2.165816714,41.39628182,0,0.426194792,0.004558333,0.000286458,0.025763542,0,0.402536458,0,0,0,0,0.075830208,0.001210417,0,0,0.000283333,0,0.0229125,0,0
33,2.168138515,41.39630548,0,0.373646875,0.003439583,0,0.043191667,0,0.391723958,0,0,0,0,0.035926042,0.015897917,0,0,0,0,0.006234375,0,9.58E-05
34,2.168549817,41.39619232,4.27E-05,0.361361458,0.026822917,3.13E-06,0.059783333,0,0.3835875,0,0,0,0,0.106958333,0.006203125,0,0,0,0,0.0181,0,0
35,2.168427992,41.3965703,0.000870833,0.246986458,0,0,0.159286458,0,0.461195833,0,0,0,0,0.014001042,0.013517708,0,0,0,0,0.00343125,0,0
36,2.168642881,41.39671067,0.00105625,0.20768125,0.0020875,0,0.198078125,0,0.509071875,0,0,0.000320833,0,0.013447917,0.002058333,0,0,0,0,0.001001042,0,0
37,2.169436236,41.39608978,7.29E-06,0.370855208,0.018054167,0,0.048816667,0,0.4489625,0,0,0,0,0.049647917,0.005629167,0,0,0,0,0,0,0
38,2.168990032,41.39615744,3.13E-06,0.397998958,0.006439583,0.000458333,0.045370833,0,0.3748875,0,0,0,0,0.082229167,0.013848958,0,0,0,0,0,0,3.02E-05
39,2.168928828,41.39650426,0.000870833,0.246986458,0,0,0.159286458,0,0.461195833,0,0,0,0,0.014001042,0.013517708,0,0,0,0,0.00343125,0,0
40,2.171485734,41.39628165,0.000209375,0.385920833,0.0024375,0.001292708,0.045844792,0,0.356369792,0,0,0,0,0.07721875,0.002461458,0,0,0,0,0,0,0
41,2.170378761,41.39629258,0.01404375,0.383976042,0.00351875,0.06961875,0.047801042,0.002588542,0.064640625,0,0,0,0.000155208,0.32024375,0.007679167,0,0.00291875,0,0,0.025766667,0,0.000785417
42,2.173684235,41.3961692,0.000442708,0.306086458,0.0001375,0.022298958,0.161229167,0,0.000586458,0,0,0.001951042,0,0.37483125,0.034815625,0,0.001783333,0.022269792,0,0.018761458,0,0.012792708
43,2.172570989,41.39622795,0.001386458,0.384282292,0.006784375,0.000198958,0.051676042,0,0.275913542,0,0,0,6.04E-05,0.119054167,0.005227083,0,0.001173958,0,0,0,0,0
44,2.156036237,41.39561012,0,0.313655208,0.040075,0.000232292,0.0384,0,0.22449375,0,0,0,0,0.094994792,0.011207292,0,0,0,0,0.106048958,0,0
